sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
永和,新北市,39,,良好,0.6,0.92,0.6,4.4,21,12,14.9,31.9,16.9,0.7,97,"2023/07/28 23:00:00",0.9,11.9,20,0,121.516306,25.017,70
復興,高雄市,29,,良好,5.5,0.65,13.7,22.5,38,8,15.5,16.3,0.8,1.1,248,"2023/07/28 23:00:00",0.5,6.3,29,2,120.312017,22.608711,71
埔里,南投縣,11,,良好,1,0.18,4,7.9,16,0,3.9,6.2,2.3,1,206,"2023/07/28 23:00:00",0.2,1,11,1,120.967903,23.968842,72
馬祖,連江縣,28,,良好,0.2,0.11,31.7,30.6,21,4,3.4,4.5,1,7.4,177,"2023/07/28 23:00:00",0.1,6,23,0,119.93149378,26.15188416,75
金門,金門縣,37,,良好,0.3,0.12,31.2,40.1,20,15,2.2,2.6,0.4,2.3,161,"2023/07/28 23:00:00",0.1,11.4,18,0,118.312256,24.432133,77
馬公,澎湖縣,32,,良好,0.5,0.08,27.8,35.1,26,8,1.7,2.5,0.7,5.1,344,"2023/07/28 23:00:00",0,5.3,20,0,119.566158,23.569031,78
關山,臺東縣,13,,良好,0.3,0.11,5,8,14,2,2.3,2.9,0.6,0.3,356,"2023/07/28 23:00:00",0.1,3.8,13,0,121.161933,23.045083,80
麥寮,雲林縣,27,,良好,1.3,0.15,23.4,29.9,11,2,4.2,5.3,1.1,2.1,186,"2023/07/28 23:00:00",0.1,1.1,7,1,120.251825,23.753506,83
富貴角,新北市,26,,良好,0,0.1,26.5,28,17,4,2.5,2.6,0.1,1.3,204,"2023/07/28 23:00:00",0.1,4.7,21,0,121.53656894,25.29681695,84
大城,彰化縣,26,,良好,0.7,0.1,22.9,28.9,14,5,1.4,3.4,2,1.6,229,"2023/07/28 23:00:00",0,3.3,9,0,120.26964167,23.85493056,85
彰化(員林),彰化縣,16,,良好,1.6,0.25,11.9,14.5,11,8,7.2,7.8,0.6,0.3,146,"2023/07/28 23:00:00",0.2,5,11,1,120.56373,23.96117,201
高雄(湖內),高雄市,23,,良好,0.8,0.13,18.4,25.4,19,7,4.5,6.1,1.6,1.7,168,"2023/07/28 23:00:00",0.1,3.2,11,0,120.24535,22.87985556,202
臺南(麻豆),臺南市,22,,良好,0.8,0.12,18.1,24.9,19,2,9.2,9.6,0.3,3.2,150,"2023/07/28 23:00:00",0.1,2.2,10,0,120.24583056,23.17904722,203
桃園(三民),桃園市,37,,良好,0.9,0.53,2.9,8.1,18,8,22.4,30.9,8.4,0.9,99,"2023/07/28 23:00:00",0.5,7.7,19,0,121.31788148,25.00132736,310
新北(樹林),新北市,30,,良好,0.5,0.35,2.5,6,28,11,12,19,7,0,120,"2023/07/28 23:00:00",0.3,9.2,23,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,19,,良好,0,0.05,18.6,20.4,9,5,1.4,1.8,0.3,2.8,120,"2023/07/28 23:00:00",0,5.2,13,0,120.651472,22.260899,313
